,AbsT,Temp,RelH,L1,L2,Occ,Act,Door,Win
0,2016-03-15 08:47:25,20.48,42.332,185.71,492.2,0.0,0.0,0,0
1,2016-03-15 08:47:30,20.48,42.332,185.71,496.8,0.0,0.0,0,0
2,2016-03-15 08:47:35,20.48,42.332,185.71,492.2,0.0,0.0,0,0
3,2016-03-15 08:47:40,20.485,42.332,187.14,496.8,0.0,0.0,0,0
4,2016-03-15 08:47:45,20.48,42.332,187.14,492.2,0.0,0.0,0,0
5,2016-03-15 08:47:50,20.48,42.332,185.71,492.2,0.0,0.0,0,0
6,2016-03-15 08:47:55,20.48,42.332,187.14,492.2,0.0,0.0,0,0
7,2016-03-15 08:48:00,20.48,42.332,185.71,492.2,0.0,0.0,0,0
8,2016-03-15 08:48:05,20.48,42.332,187.855,494.5,0.0,0.0,0,0
9,2016-03-15 08:48:10,20.48,42.332,185.71,492.2,0.0,0.0,0,0
10,2016-03-15 08:48:15,20.48,42.332,187.14,492.2,0.0,0.0,0,0
11,2016-03-15 08:48:20,20.475,42.332,186.425,492.2,0.0,0.0,0,0
12,2016-03-15 08:48:25,20.48,42.332,185.71,492.2,0.0,0.0,0,0
13,2016-03-15 08:48:30,20.48,42.332,185.71,492.2,0.0,0.0,0,0
14,2016-03-15 08:48:35,20.48,42.332,188.57,489.9,0.0,0.0,0,0
15,2016-03-15 08:48:40,20.48006772266891,42.332,187.3817520693628,487.3346444938432,3.277354543381266e-251,-8.781626931562026e-252,0,0
16,2016-03-15 08:48:45,20.48,42.332,185.71,489.9,0.0,0.0,0,0
17,2016-03-15 08:48:50,20.48,42.332,187.14,496.8,0.0,0.0,0,0
18,2016-03-15 08:48:55,20.48,42.332,185.71,492.2,0.0,0.0,0,0
19,2016-03-15 08:49:00,20.48,42.332,186.425,492.2,0.0,0.0,0,0
20,2016-03-15 08:49:05,20.47,42.332,187.14,492.2,0.0,0.0,0,0
21,2016-03-15 08:49:10,20.47,42.332,187.14,492.2,0.0,0.0,0,0
22,2016-03-15 08:49:15,20.48,42.332,187.14,492.2,0.0,0.0,0,0
23,2016-03-15 08:49:20,20.48,42.332,187.14,492.2,0.0,0.0,0,0
24,2016-03-15 08:49:25,20.47,42.332,185.71,487.6,0.0,0.0,0,0
25,2016-03-15 08:49:30,20.48,42.332,187.14,492.2,0.0,0.0,0,0
26,2016-03-15 08:49:35,20.48,42.332,187.14,487.6,0.0,0.0,0,0
27,2016-03-15 08:49:40,20.485,42.332,187.14,487.6,0.0,0.0,0,0
28,2016-03-15 08:49:45,20.47,42.332,192.86,496.8,0.0,0.0,0,0
29,2016-03-15 08:49:50,20.48,42.332,184.29,492.2,0.0,0.0,0,0
30,2016-03-15 08:49:55,20.48,42.332,187.14,496.8,0.0,0.0,0,0
31,2016-03-15 08:50:00,20.475,42.332,186.425,496.8,0.0,0.0,0,0
32,2016-03-15 08:50:05,20.48,42.332,188.57,496.8,0.0,0.0,0,0
33,2016-03-15 08:50:10,20.48,42.332,188.57,492.2,0.0,0.0,0,0
34,2016-03-15 08:50:15,20.48,42.332,187.14,496.8,0.0,0.0,0,0
35,2016-03-15 08:50:20,20.475,42.332,188.57,496.8,0.0,0.0,0,0
36,2016-03-15 08:50:25,20.48,42.332,185.71,496.8,0.0,0.0,0,0
37,2016-03-15 08:50:30,20.48,42.332,182.86,492.2,0.0,0.0,0,0
38,2016-03-15 08:50:35,20.48,42.332,187.14,496.8,0.0,0.0,0,0
39,2016-03-15 08:50:40,20.47,42.332,187.14,499.1,0.0,0.0,0,0
40,2016-03-15 08:50:45,20.47,42.332,188.57,501.4,0.0,0.0,0,0
41,2016-03-15 08:50:50,20.48,42.332,187.14,496.8,0.0,0.0,0,0
42,2016-03-15 08:50:55,20.47,42.332,185.71,496.8,0.0,0.0,0,0
43,2016-03-15 08:51:00,20.475,42.332,188.57,494.5,0.0,0.0,0,0
44,2016-03-15 08:51:05,20.48,42.332,187.14,492.2,0.0,0.0,0,0
45,2016-03-15 08:51:10,20.48,42.332,188.57,496.8,0.0,0.0,0,0
46,2016-03-15 08:51:15,20.48,42.332,188.57,496.8,0.0,0.0,0,0
47,2016-03-15 08:51:20,20.475,42.332,188.57,501.4,0.0,0.0,0,0
48,2016-03-15 08:51:25,20.48,42.332,188.57,501.4,0.0,0.0,0,0
49,2016-03-15 08:51:30,20.48,42.332,187.14,496.8,0.0,0.0,0,0
50,2016-03-15 08:51:35,20.48,42.373,187.14,496.8,0.0,0.0,0,0
51,2016-03-15 08:51:40,20.47,42.332,187.855,496.8,0.0,0.0,0,0
52,2016-03-15 08:51:45,20.48,42.332,188.57,501.4,0.0,0.0,0,0
53,2016-03-15 08:51:50,20.46,42.332,188.57,501.4,0.0,0.0,0,0
54,2016-03-15 08:51:55,20.48,42.332,190.0,501.4,0.0,0.0,0,0
55,2016-03-15 08:52:00,20.48,42.332,187.14,496.8,0.0,0.0,0,0
56,2016-03-15 08:52:05,20.48,42.332,188.57,496.8,0.0,0.0,0,0
57,2016-03-15 08:52:10,20.48,42.332,188.57,501.4,0.0,0.0,0,0
58,2016-03-15 08:52:15,20.48,42.332,187.14,496.8,0.0,0.0,0,0
59,2016-03-15 08:52:20,20.48,42.332,187.855,499.1,0.0,0.0,0,0
60,2016-03-15 08:52:25,20.49,42.332,185.71,501.4,0.0,0.0,0,0
61,2016-03-15 08:52:30,20.48,42.332,188.57,492.2,0.0,0.0,0,0
62,2016-03-15 08:52:35,20.48,42.332,188.57,501.4,0.0,0.0,0,0
63,2016-03-15 08:52:40,20.48,42.332,187.14,499.1,0.0,0.0,0,0
64,2016-03-15 08:52:45,20.48,42.332,187.14,496.8,0.0,0.0,0,0
65,2016-03-15 08:52:50,20.49,42.332,184.29,496.8,0.0,0.0,0,0
66,2016-03-15 08:52:55,20.49,42.332,188.57,496.8,0.0,0.0,0,0
67,2016-03-15 08:53:00,20.485,42.332,187.855,496.8,0.0,0.0,0,0
68,2016-03-15 08:53:05,20.49,42.332,187.14,501.4,0.0,0.0,0,0
69,2016-03-15 08:53:10,20.48,42.332,187.14,492.2,0.0,0.0,0,0
70,2016-03-15 08:53:15,20.48,42.332,185.71,496.8,0.0,0.0,0,0
71,2016-03-15 08:53:20,20.495,42.332,187.855,501.4,0.0,0.0,0,0
72,2016-03-15 08:53:25,20.49,42.332,187.14,496.8,0.0,0.0,0,0
73,2016-03-15 08:53:30,20.49,42.332,188.57,496.8,0.0,0.0,0,0
74,2016-03-15 08:53:35,20.48,42.332,187.14,492.2,0.0,0.0,0,0
75,2016-03-15 08:53:40,20.485,42.332,186.425,492.2,0.0,0.0,0,0
76,2016-03-15 08:53:45,20.49,42.332,187.14,496.8,0.0,0.0,0,0
77,2016-03-15 08:53:50,20.47,42.332,187.14,496.8,0.0,0.0,0,0
78,2016-03-15 08:53:55,20.49,42.332,187.14,496.8,0.0,0.0,0,0
79,2016-03-15 08:54:00,20.48,42.332,187.14,492.2,0.0,0.0,0,0
80,2016-03-15 08:54:05,20.48,42.332,187.14,492.2,0.0,0.0,0,0
81,2016-03-15 08:54:10,20.48,42.332,187.14,492.2,0.0,0.0,0,0
82,2016-03-15 08:54:15,20.49,42.332,184.29,492.2,0.0,0.0,0,0
83,2016-03-15 08:54:20,20.48,42.35250000000001,187.14,492.2,0.0,0.0,0,0
84,2016-03-15 08:54:25,20.49,42.332,188.57,492.2,0.0,0.0,0,0
85,2016-03-15 08:54:30,20.49,42.332,185.71,487.6,0.0,0.0,0,0
86,2016-03-15 08:54:35,20.49,42.332,185.71,478.4,0.0,0.0,0,0
87,2016-03-15 08:54:40,20.48,42.332,187.14,487.6,0.0,0.0,0,0
88,2016-03-15 08:54:45,20.485,42.332,184.29,494.5,0.0,0.0,0,0
89,2016-03-15 08:54:50,20.48,42.332,182.86,483.0,0.0,0.0,0,0
90,2016-03-15 08:54:55,20.48,42.332,187.14,487.6,0.0,0.0,0,0
91,2016-03-15 08:55:00,20.485,42.332,187.14,489.9,0.0,0.0,0,0
92,2016-03-15 08:55:05,20.48,42.373,187.14,496.8,0.0,0.0,0,0
93,2016-03-15 08:55:10,20.48,42.332,188.57,492.2,0.0,0.0,0,0
94,2016-03-15 08:55:15,20.48,42.373,187.14,487.6,0.0,0.0,0,0
95,2016-03-15 08:55:20,20.48,42.373,187.14,489.9,0.0,0.0,0,0
96,2016-03-15 08:55:25,20.48,42.373,185.71,492.2,0.0,0.0,0,0
97,2016-03-15 08:55:30,20.48,42.332,187.14,483.0,0.0,0.0,0,0
98,2016-03-15 08:55:35,20.48,42.373,185.71,492.2,0.0,0.0,0,0
99,2016-03-15 08:55:40,20.48,42.373,187.14,492.2,0.0,0.0,0,0
100,2016-03-15 08:55:45,20.49,42.373,187.14,492.2,0.0,0.0,0,0
101,2016-03-15 08:55:50,20.48,42.332,190.0,496.8,0.0,0.0,0,0
102,2016-03-15 08:55:55,20.49,42.373,188.57,492.2,0.0,0.0,0,0
103,2016-03-15 08:56:00,20.48,42.373,185.715,496.8,0.0,0.0,0,0
104,2016-03-15 08:56:05,20.49,42.373,188.57,496.8,0.0,0.0,0,0
105,2016-03-15 08:56:10,20.49,42.373,188.57,496.8,0.0,0.0,0,0
106,2016-03-15 08:56:15,20.49,42.332,187.14,496.8,0.0,0.0,0,0
107,2016-03-15 08:56:20,20.49,42.35250000000001,188.57,496.8,0.0,0.0,0,0
108,2016-03-15 08:56:25,20.48,42.373,188.57,501.4,0.0,0.0,0,0
109,2016-03-15 08:56:30,20.48,42.373,188.57,496.8,0.0,0.0,0,0
110,2016-03-15 08:56:35,20.48,42.373,188.57,510.6,0.0,0.0,0,0
111,2016-03-15 08:56:40,20.485,42.373,188.57,501.4,0.0,0.0,0,0
112,2016-03-15 08:56:45,20.49,42.373,190.0,510.6,0.0,0.0,0,0
113,2016-03-15 08:56:50,20.47,42.373,188.57,501.4,0.0,0.0,0,0
114,2016-03-15 08:56:55,20.49,42.332,188.57,496.8,0.0,0.0,0,0
115,2016-03-15 08:57:00,20.48,42.373,188.57,494.5,0.0,0.0,0,0
116,2016-03-15 08:57:05,20.48,42.373,188.57,506.0,0.0,0.0,0,0
117,2016-03-15 08:57:10,20.49,42.373,190.0,506.0,0.0,0.0,0,0
118,2016-03-15 08:57:15,20.48,42.373,188.57,501.4,0.0,0.0,0,0
119,2016-03-15 08:57:20,20.48058191616012,42.37230622464486,187.6769725881799,499.0387160273963,-2.977110141617672e-192,7.977126139939512e-193,0,0
120,2016-03-15 08:57:25,20.485,42.373,188.57,501.4,0.0,0.0,0,0
121,2016-03-15 08:57:30,20.48,42.373,190.0,506.0,0.0,0.0,0,0
122,2016-03-15 08:57:35,20.48,42.373,188.57,501.4,0.0,0.0,0,0
123,2016-03-15 08:57:40,20.485,42.393,188.57,501.4,0.0,0.0,0,0
124,2016-03-15 08:57:45,20.48,42.373,188.57,501.4,0.0,0.0,0,0
125,2016-03-15 08:57:50,20.48,42.373,190.0,506.0,0.0,0.0,0,0
126,2016-03-15 08:57:55,20.49,42.373,190.0,501.4,0.0,0.0,0,0
127,2016-03-15 08:58:00,20.49,42.373,188.57,503.7,0.0,0.0,0,0
128,2016-03-15 08:58:05,20.48,42.373,190.0,506.0,0.0,0.0,0,0
129,2016-03-15 08:58:10,20.49,42.373,188.57,501.4,0.0,0.0,0,0
130,2016-03-15 08:58:15,20.48,42.413,188.57,496.8,0.0,0.0,0,0
131,2016-03-15 08:58:20,20.48,42.393,191.43,496.8,0.0,0.0,0,0
132,2016-03-15 08:58:25,20.48,42.373,190.0,510.6,0.0,0.0,0,0
133,2016-03-15 08:58:30,20.48,42.413,188.57,501.4,0.0,0.0,0,0
134,2016-03-15 08:58:35,20.47,42.373,188.57,501.4,0.0,0.0,0,0
