AbsT,Temp,RelH,L1,L2,Occ,Act,Door,Win
2016-03-15 08:47:25,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:47:30,20.48,42.332,185.71,496.8,0,0,0,0
2016-03-15 08:47:35,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:47:40,20.485,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:47:45,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:47:50,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:47:55,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:48:00,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:48:05,20.48,42.332,187.855,494.5,0,0,0,0
2016-03-15 08:48:10,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:48:15,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:48:20,20.475,42.332,186.425,492.2,0,0,0,0
2016-03-15 08:48:25,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:48:30,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:48:35,20.48,42.332,188.57,489.9,0,0,0,0
2016-03-15 08:48:40,20.48006772266891,42.332,187.3817520693628,487.3346444938432,0,0,0,0
2016-03-15 08:48:45,20.48,42.332,185.71,489.9,0,0,0,0
2016-03-15 08:48:50,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:48:55,20.48,42.332,185.71,492.2,0,0,0,0
2016-03-15 08:49:00,20.48,42.332,186.425,492.2,0,0,0,0
2016-03-15 08:49:05,20.47,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:49:10,20.47,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:49:15,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:49:20,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:49:25,20.47,42.332,185.71,487.6,0,0,0,0
2016-03-15 08:49:30,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:49:35,20.48,42.332,187.14,487.6,0,0,0,0
2016-03-15 08:49:40,20.485,42.332,187.14,487.6,0,0,0,0
2016-03-15 08:49:45,20.47,42.332,192.86,496.8,0,0,0,0
2016-03-15 08:49:50,20.48,42.332,184.29,492.2,0,0,0,0
2016-03-15 08:49:55,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:50:00,20.475,42.332,186.425,496.8,0,0,0,0
2016-03-15 08:50:05,20.48,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:50:10,20.48,42.332,188.57,492.2,0,0,0,0
2016-03-15 08:50:15,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:50:20,20.475,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:50:25,20.48,42.332,185.71,496.8,0,0,0,0
2016-03-15 08:50:30,20.48,42.332,182.86,492.2,0,0,0,0
2016-03-15 08:50:35,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:50:40,20.47,42.332,187.14,499.1,0,0,0,0
2016-03-15 08:50:45,20.47,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:50:50,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:50:55,20.47,42.332,185.71,496.8,0,0,0,0
2016-03-15 08:51:00,20.475,42.332,188.57,494.5,0,0,0,0
2016-03-15 08:51:05,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:51:10,20.48,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:51:15,20.48,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:51:20,20.475,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:51:25,20.48,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:51:30,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:51:35,20.48,42.373,187.14,496.8,0,0,0,0
2016-03-15 08:51:40,20.47,42.332,187.855,496.8,0,0,0,0
2016-03-15 08:51:45,20.48,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:51:50,20.46,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:51:55,20.48,42.332,190.0,501.4,0,0,0,0
2016-03-15 08:52:00,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:52:05,20.48,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:52:10,20.48,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:52:15,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:52:20,20.48,42.332,187.855,499.1,0,0,0,0
2016-03-15 08:52:25,20.49,42.332,185.71,501.4,0,0,0,0
2016-03-15 08:52:30,20.48,42.332,188.57,492.2,0,0,0,0
2016-03-15 08:52:35,20.48,42.332,188.57,501.4,0,0,0,0
2016-03-15 08:52:40,20.48,42.332,187.14,499.1,0,0,0,0
2016-03-15 08:52:45,20.48,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:52:50,20.49,42.332,184.29,496.8,0,0,0,0
2016-03-15 08:52:55,20.49,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:53:00,20.485,42.332,187.855,496.8,0,0,0,0
2016-03-15 08:53:05,20.49,42.332,187.14,501.4,0,0,0,0
2016-03-15 08:53:10,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:53:15,20.48,42.332,185.71,496.8,0,0,0,0
2016-03-15 08:53:20,20.495,42.332,187.855,501.4,0,0,0,0
2016-03-15 08:53:25,20.49,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:53:30,20.49,42.332,188.57,496.8,0,0,0,0
2016-03-15 08:53:35,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:53:40,20.485,42.332,186.425,492.2,0,0,0,0
2016-03-15 08:53:45,20.49,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:53:50,20.47,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:53:55,20.49,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:54:00,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:54:05,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:54:10,20.48,42.332,187.14,492.2,0,0,0,0
2016-03-15 08:54:15,20.49,42.332,184.29,492.2,0,0,0,0
2016-03-15 08:54:20,20.48,42.35250000000001,187.14,492.2,0,0,0,0
2016-03-15 08:54:25,20.49,42.332,188.57,492.2,0,0,0,0
2016-03-15 08:54:30,20.49,42.332,185.71,487.6,0,0,0,0
2016-03-15 08:54:35,20.49,42.332,185.71,478.4,0,0,0,0
2016-03-15 08:54:40,20.48,42.332,187.14,487.6,0,0,0,0
2016-03-15 08:54:45,20.485,42.332,184.29,494.5,0,0,0,0
2016-03-15 08:54:50,20.48,42.332,182.86,483.0,0,0,0,0
2016-03-15 08:54:55,20.48,42.332,187.14,487.6,0,0,0,0
2016-03-15 08:55:00,20.485,42.332,187.14,489.9,0,0,0,0
2016-03-15 08:55:05,20.48,42.373,187.14,496.8,0,0,0,0
2016-03-15 08:55:10,20.48,42.332,188.57,492.2,0,0,0,0
2016-03-15 08:55:15,20.48,42.373,187.14,487.6,0,0,0,0
2016-03-15 08:55:20,20.48,42.373,187.14,489.9,0,0,0,0
2016-03-15 08:55:25,20.48,42.373,185.71,492.2,0,0,0,0
2016-03-15 08:55:30,20.48,42.332,187.14,483.0,0,0,0,0
2016-03-15 08:55:35,20.48,42.373,185.71,492.2,0,0,0,0
2016-03-15 08:55:40,20.48,42.373,187.14,492.2,0,0,0,0
2016-03-15 08:55:45,20.49,42.373,187.14,492.2,0,0,0,0
2016-03-15 08:55:50,20.48,42.332,190.0,496.8,0,0,0,0
2016-03-15 08:55:55,20.49,42.373,188.57,492.2,0,0,0,0
2016-03-15 08:56:00,20.48,42.373,185.715,496.8,0,0,0,0
2016-03-15 08:56:05,20.49,42.373,188.57,496.8,0,0,0,0
2016-03-15 08:56:10,20.49,42.373,188.57,496.8,0,0,0,0
2016-03-15 08:56:15,20.49,42.332,187.14,496.8,0,0,0,0
2016-03-15 08:56:20,20.49,42.35250000000001,188.57,496.8,0,0,0,0
2016-03-15 08:56:25,20.48,42.373,188.57,501.4,0,0,0,0
2016-03-15 08:56:30,20.48,42.373,188.57,496.8,0,0,0,0
2016-03-15 08:56:35,20.48,42.373,188.57,510.6,0,0,0,0
2016-03-15 08:56:40,20.485,42.373,188.57,501.4,0,0,0,0
2016-03-15 08:56:45,20.49,42.373,190.0,510.6,0,0,0,0
2016-03-15 08:56:50,20.47,42.373,188.57,501.4,0,0,0,0
