AbsT,Temp,RelH,L1,L2,Act,Door,Win
2016-03-15 08:47:30,20.89,40.712,174.29,552.0,0.0,0,0
2016-03-15 08:47:35,20.9,40.712,173.57,545.0999999999999,0.0,0,0
2016-03-15 08:47:40,20.9,40.712,171.43,542.8,0.0,0,0
2016-03-15 08:47:45,20.9,40.712,171.43,542.8,0.0,0,0
2016-03-15 08:47:50,20.89,40.712,172.86,547.4,0.0,0,0
2016-03-15 08:47:55,20.885,40.712,170.715,545.0999999999999,0.0,0,0
2016-03-15 08:48:00,20.89,40.712,172.86,547.4,0.0,0,0
2016-03-15 08:48:05,20.9,40.712,170.0,547.4,0.0,0,0
2016-03-15 08:48:10,20.895,40.712,172.145,549.7,0.0,0,0
2016-03-15 08:48:15,20.89,40.712,171.43,533.6,0.0,0,0
2016-03-15 08:48:20,20.89,40.712,171.43,542.8,0.0,0,0
2016-03-15 08:48:25,20.9,40.712,172.86,547.4,0.0,0,0
2016-03-15 08:48:30,20.88,40.712,171.43,547.4,0.0,0,0
2016-03-15 08:48:35,20.885,40.712,171.43,547.4,0.0,0,0
2016-03-15 08:48:40,20.89,40.712,171.43,542.8,0.0,0,0
2016-03-15 08:48:45,20.89,40.712,172.86,547.4,0.0,0,0
2016-03-15 08:48:50,20.89,40.712,172.86,552.0,0.0,0,0
2016-03-15 08:48:55,20.88,40.712,171.43,547.4,0.0,0,0
2016-03-15 08:49:00,20.88,40.712,170.0,547.4,0.0,0,0
2016-03-15 08:49:05,20.88,40.712,174.29,547.4,0.0,0,0
2016-03-15 08:49:10,20.89,40.712,171.43,547.4,0.0,0,0
2016-03-15 08:49:15,20.89,40.712,171.43,547.4,0.0,0,0
2016-03-15 08:49:20,20.89,40.712,170.0,547.4,0.0,0,0
2016-03-15 08:49:25,20.88,40.712,172.86,547.4,0.0,0,0
2016-03-15 08:49:30,20.89,40.732,171.43,549.7,0.0,0,0
2016-03-15 08:49:35,20.89,40.712,171.43,552.0,0.0,0,0
2016-03-15 08:49:40,20.88,40.712,172.86,552.0,0.0,0,0
2016-03-15 08:49:45,20.88,40.712,172.86,552.0,0.0,0,0
2016-03-15 08:49:50,20.885,40.732,172.86,554.3,0.0,0,0
2016-03-15 08:49:55,20.88,40.712,172.86,552.0,0.0,0,0
2016-03-15 08:50:00,20.88,40.712,172.86,547.4,0.0,0,0
2016-03-15 08:50:05,20.88,40.752,171.43,547.4,0.0,0,0
2016-03-15 08:50:10,20.88,40.752,175.71,552.0,0.0,0,0
2016-03-15 08:50:15,20.88,40.732,170.715,554.3,0.0,0,0
2016-03-15 08:50:20,20.88,40.752,170.0,552.0,0.0,0,0
2016-03-15 08:50:25,20.88,40.752,174.29,556.6,0.0,0,0
2016-03-15 08:50:30,20.88,40.752,172.145,556.6,0.0,0,0
2016-03-15 08:50:35,20.88,40.712,174.29,542.8,0.0,0,0
2016-03-15 08:50:40,20.88,40.752,171.43,552.0,0.0,0,0
2016-03-15 08:50:45,20.88,40.752,172.86,547.4,0.0,0,0
2016-03-15 08:50:50,20.87,40.752,177.14,556.6,0.0,0,0
2016-03-15 08:50:55,20.88,40.752,172.86,558.9000000000001,0.0,0,0
2016-03-15 08:51:00,20.88,40.793,171.43,570.4,0.0,0,0
2016-03-15 08:51:05,20.88,40.752,172.86,561.2,0.0,0,0
2016-03-15 08:51:10,20.88,40.752,172.86,570.4,0.0,0,0
2016-03-15 08:51:15,20.875,40.77249999999999,172.86,558.9000000000001,0.0,0,0
2016-03-15 08:51:20,20.87,40.752,172.86,552.0,0.0,0,0
2016-03-15 08:51:25,20.88,40.793,171.43,556.6,0.0,0,0
2016-03-15 08:51:30,20.88,40.793,178.57,565.8,0.0,0,0
2016-03-15 08:51:35,20.88,40.752,172.86,558.9000000000001,0.0,0,0
2016-03-15 08:51:40,20.87,40.752,172.86,561.2,0.0,0,0
2016-03-15 08:51:45,20.88,40.793,172.86,561.2,0.0,0,0
2016-03-15 08:51:50,20.88,40.752,175.71,556.6,0.0,0,0
2016-03-15 08:51:55,20.88,40.77249999999999,172.86,556.6,0.0,0,0
2016-03-15 08:52:00,20.88,40.752,174.29,556.6,0.0,0,0
2016-03-15 08:52:05,20.87,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:52:10,20.87,40.752,171.43,556.6,0.0,0,0
2016-03-15 08:52:15,20.875,40.793,172.145,558.9,0.0,0,0
2016-03-15 08:52:20,20.87,40.793,174.29,556.6,0.0,0,0
2016-03-15 08:52:25,20.87,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:52:30,20.88,40.793,174.29,556.6,0.0,0,0
2016-03-15 08:52:35,20.875,40.77249999999999,171.43,556.6,0.0,0,0
2016-03-15 08:52:40,20.87,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:52:45,20.87,40.752,171.43,552.0,0.0,0,0
2016-03-15 08:52:50,20.88,40.793,172.86,552.0,0.0,0,0
2016-03-15 08:52:55,20.875,40.793,169.285,552.0,0.0,0,0
2016-03-15 08:53:00,20.86,40.793,172.86,561.2,0.0,0,0
2016-03-15 08:53:05,20.87,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:53:10,20.875,40.77249999999999,170.715,554.3,0.0,0,0
2016-03-15 08:53:15,20.88,40.752,172.86,556.6,0.0,0,0
2016-03-15 08:53:20,20.88,40.752,171.43,552.0,0.0,0,0
2016-03-15 08:53:25,20.87,40.752,172.86,575.0,0.0,0,0
2016-03-15 08:53:30,20.88,40.793,172.86,565.8,0.0,0,0
2016-03-15 08:53:35,20.88,40.752,173.575,556.6,0.0,0,0
2016-03-15 08:53:40,20.88,40.752,171.43,552.0,0.0,0,0
2016-03-15 08:53:45,20.88,40.752,171.43,547.4,0.0,0,0
2016-03-15 08:53:50,20.88,40.793,172.86,552.0,0.0,0,0
2016-03-15 08:53:55,20.88,40.77249999999999,171.43,547.4,0.0,0,0
2016-03-15 08:54:00,20.88,40.752,171.43,547.4,0.0,0,0
2016-03-15 08:54:05,20.87,40.752,172.86,556.6,0.0,0,0
2016-03-15 08:54:10,20.87,40.793,172.86,547.4,0.0,0,0
2016-03-15 08:54:15,20.88,40.77249999999999,170.715,545.0999999999999,0.0,0,0
2016-03-15 08:54:20,20.88,40.793,171.43,542.8,0.0,0,0
2016-03-15 08:54:25,20.87,40.793,172.86,547.4,0.0,0,0
2016-03-15 08:54:30,20.87,40.793,170.0,542.8,0.0,0,0
2016-03-15 08:54:35,20.87,40.793,172.86,542.8,0.0,0,0
2016-03-15 08:54:40,20.87,40.793,172.86,542.8,0.0,0,0
2016-03-15 08:54:45,20.86,40.793,172.86,542.8,0.0,0,0
2016-03-15 08:54:50,20.87,40.793,172.86,542.8,0.0,0,0
2016-03-15 08:54:55,20.87,40.793,172.145,545.0999999999999,0.0,0,0
2016-03-15 08:55:00,20.87,40.793,168.57,542.8,0.0,0,0
2016-03-15 08:55:05,20.86,40.793,171.43,542.8,0.0,0,0
2016-03-15 08:55:10,20.865,40.793,171.43,542.8,0.0,0,0
2016-03-15 08:55:15,20.87,40.793,175.71,542.8,0.0,0,0
2016-03-15 08:55:20,20.86,40.793,171.43,542.8,0.0,0,0
2016-03-15 08:55:25,20.87,40.793,172.86,538.2,0.0,0,0
2016-03-15 08:55:30,20.86,40.793,172.86,547.4,0.0,0,0
2016-03-15 08:55:35,20.855,40.793,175.0,547.4,0.0,0,0
2016-03-15 08:55:40,20.85,40.793,171.43,542.8,0.0,0,0
2016-03-15 08:55:45,20.86,40.793,172.86,552.0,0.0,0,0
2016-03-15 08:55:50,20.86,40.793,172.145,549.7,0.0,0,0
2016-03-15 08:55:55,20.87,40.793,171.43,547.4,0.0,0,0
2016-03-15 08:56:00,20.86,40.793,172.86,552.0,0.0,0,0
2016-03-15 08:56:05,20.86,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:56:10,20.86,40.793,172.145,556.6,0.0,0,0
2016-03-15 08:56:15,20.86,40.793,174.29,547.4,0.0,0,0
2016-03-15 08:56:20,20.86,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:56:25,20.86,40.793,172.86,552.0,0.0,0,0
2016-03-15 08:56:30,20.86,40.793,174.29,556.6,0.0,0,0
2016-03-15 08:56:35,20.85,40.793,170.0,556.6,0.0,0,0
2016-03-15 08:56:40,20.86,40.793,175.71,556.6,0.0,0,0
2016-03-15 08:56:45,20.86,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:56:50,20.86,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:56:55,20.865,40.793,173.575,554.3,0.0,0,0
2016-03-15 08:57:00,20.86,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:57:05,20.86,40.793,171.43,556.6,0.0,0,0
2016-03-15 08:57:10,20.86,40.793,172.86,552.0,0.0,0,0
2016-03-15 08:57:15,20.855,40.793,172.145,556.6,0.0,0,0
2016-03-15 08:57:20,20.86,40.793,172.86,561.2,0.0,0,0
2016-03-15 08:57:25,20.87,40.793,172.86,561.2,0.0,0,0
2016-03-15 08:57:30,20.86,40.793,174.29,552.0,0.0,0,0
2016-03-15 08:57:35,20.86,40.793,174.29,556.6,0.0,0,0
2016-03-15 08:57:40,20.86,40.793,172.86,565.8,0.0,0,0
2016-03-15 08:57:45,20.86,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:57:50,20.865,40.793,172.86,563.5,0.0,0,0
2016-03-15 08:57:55,20.87,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:58:00,20.86,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:58:05,20.86,40.793,172.86,561.2,0.0,0,0
2016-03-15 08:58:10,20.865,40.793,172.86,563.5,0.0,0,0
2016-03-15 08:58:15,20.86,40.793,172.86,556.6,0.0,0,0
2016-03-15 08:58:20,20.85,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:58:25,20.86,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:58:30,20.86,40.793,174.29,556.6,0.0,0,0
2016-03-15 08:58:35,20.85,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:58:40,20.86,40.793,177.14,561.2,0.0,0,0
2016-03-15 08:58:45,20.84,40.834,174.29,561.2,0.0,0,0
2016-03-15 08:58:50,20.86,40.793,172.86,561.2,0.0,0,0
2016-03-15 08:58:55,20.855,40.793,172.86,563.5,0.0,0,0
2016-03-15 08:59:00,20.86,40.834,174.29,561.2,0.0,0,0
2016-03-15 08:59:05,20.86,40.793,174.29,575.0,0.0,0,0
2016-03-15 08:59:10,20.86,40.8135,174.29,561.2,0.0,0,0
2016-03-15 08:59:15,20.85,40.793,174.29,561.2,0.0,0,0
2016-03-15 08:59:20,20.85,40.834,172.86,565.8,0.0,0,0
2016-03-15 08:59:25,20.86,40.834,174.29,565.8,0.0,0,0
2016-03-15 08:59:30,20.86,40.793,174.29,565.8,0.0,0,0
2016-03-15 08:59:35,20.86,40.834,172.86,565.8,0.0,0,0
2016-03-15 08:59:40,20.85,40.793,180.0,570.4,0.0,0,0
2016-03-15 08:59:45,20.86,40.834,177.14,565.8,0.0,0,0
2016-03-15 08:59:50,20.85,40.834,174.285,563.5,0.0,0,0
2016-03-15 08:59:55,20.86,40.834,175.71,561.2,0.0,0,0
2016-03-15 09:00:00,20.85,40.874,170.0,565.8,0.0,0,0
2016-03-15 09:00:05,20.86,40.834,175.71,570.4,0.0,0,0
2016-03-15 09:00:10,20.86,40.834,175.0,570.4,0.0,0,0
2016-03-15 09:00:15,20.85,40.834,174.29,565.8,0.0,0,0
2016-03-15 09:00:20,20.86,40.793,174.29,575.0,0.0,0,0
2016-03-15 09:00:25,20.85,40.834,174.29,570.4,0.0,0,0
2016-03-15 09:00:30,20.86,40.834,177.14,565.8,0.0,0,0
2016-03-15 09:00:35,20.855,40.834,175.0,565.8,0.0,0,0
2016-03-15 09:00:40,20.86,40.834,175.71,570.4,0.0,0,0
2016-03-15 09:00:45,20.86,40.834,177.14,570.4,0.0,0,0
2016-03-15 09:00:50,20.86,40.834,177.14,572.7,0.0,0,0
2016-03-15 09:00:55,20.86,40.834,175.71,570.4,0.0,0,0
2016-03-15 09:01:00,20.86,40.834,174.29,579.6,0.0,0,0
2016-03-15 09:01:05,20.86,40.834,174.29,575.0,0.0,0,0
2016-03-15 09:01:10,20.85,40.834,175.71,575.0,0.0,0,0
2016-03-15 09:01:15,20.86,40.834,175.71,577.3,0.0,0,0
2016-03-15 09:01:20,20.86,40.834,175.71,570.4,0.0,0,0
2016-03-15 09:01:25,20.85,40.834,177.14,570.4,0.0,0,0
2016-03-15 09:01:30,20.86,40.834,177.14,575.0,0.0,0,0
2016-03-15 09:01:35,20.85,40.834,175.71,572.7,0.0,0,0
