AbsT,Temp
2016-03-15 08:47:30,20.89
2016-03-15 08:47:35,20.9
2016-03-15 08:47:40,20.9
2016-03-15 08:47:45,20.9
2016-03-15 08:47:50,20.89
2016-03-15 08:47:55,20.885
2016-03-15 08:48:00,20.89
2016-03-15 08:48:05,20.9
2016-03-15 08:48:10,20.895
2016-03-15 08:48:15,20.89
2016-03-15 08:48:20,20.89
2016-03-15 08:48:25,20.9
2016-03-15 08:48:30,20.88
2016-03-15 08:48:35,20.885
2016-03-15 08:48:40,20.89
2016-03-15 08:48:45,20.89
2016-03-15 08:48:50,20.89
2016-03-15 08:48:55,20.88
2016-03-15 08:49:00,20.88
2016-03-15 08:49:05,20.88
2016-03-15 08:49:10,20.89
2016-03-15 08:49:15,20.89
2016-03-15 08:49:20,20.89
2016-03-15 08:49:25,20.88
2016-03-15 08:49:30,20.89
2016-03-15 08:49:35,20.89
2016-03-15 08:49:40,20.88
2016-03-15 08:49:45,20.88
2016-03-15 08:49:50,20.885
2016-03-15 08:49:55,20.88
2016-03-15 08:50:00,20.88
2016-03-15 08:50:05,20.88
2016-03-15 08:50:10,20.88
2016-03-15 08:50:15,20.88
2016-03-15 08:50:20,20.88
2016-03-15 08:50:25,20.88
2016-03-15 08:50:30,20.88
2016-03-15 08:50:35,20.88
2016-03-15 08:50:40,20.88
2016-03-15 08:50:45,20.88
2016-03-15 08:50:50,20.87
2016-03-15 08:50:55,20.88
2016-03-15 08:51:00,20.88
2016-03-15 08:51:05,20.88
2016-03-15 08:51:10,20.88
2016-03-15 08:51:15,20.875
2016-03-15 08:51:20,20.87
2016-03-15 08:51:25,20.88
2016-03-15 08:51:30,20.88
2016-03-15 08:51:35,20.88
2016-03-15 08:51:40,20.87
2016-03-15 08:51:45,20.88
2016-03-15 08:51:50,20.88
2016-03-15 08:51:55,20.88
2016-03-15 08:52:00,20.88
2016-03-15 08:52:05,20.87
2016-03-15 08:52:10,20.87
2016-03-15 08:52:15,20.875
