AbsT,status
2016-03-15 08:47:28.545,Off
2016-03-15 08:47:32.680,Off
2016-03-15 08:47:36.668,Off
2016-03-15 08:47:40.131,Off
2016-03-15 08:47:44.774,Off
2016-03-15 08:47:47.985,Off
2016-03-15 08:47:52.350,Off
2016-03-15 08:47:56.342,Off
2016-03-15 08:48:00.945,Off
2016-03-15 08:48:05.184,Off
2016-03-15 08:48:09.049,Off
2016-03-15 08:48:12.539,Off
2016-03-15 08:48:16.279,Off
2016-03-15 08:48:20.653,Off
2016-03-15 08:48:24.759,Off
2016-03-15 08:48:27.999,Off
2016-03-15 08:48:32.239,Off
2016-03-15 08:48:36.104,Off
2016-03-15 08:48:39.968,Off
2016-03-15 08:48:45.211,Off
2016-03-15 08:48:48.201,Off
2016-03-15 08:48:52.940,Off
2016-03-15 08:48:56.320,Off
2016-03-15 08:49:00.434,Off
2016-03-15 08:49:04.275,Off
2016-03-15 08:49:09.015,Off
2016-03-15 08:49:12.506,Off
2016-03-15 08:49:16.619,Off
2016-03-15 08:49:20.360,Off
2016-03-15 08:49:24.724,Off
2016-03-15 08:49:29.089,Off
2016-03-15 08:49:32.204,Off
2016-03-15 08:49:35.944,Off
2016-03-15 08:49:40.559,Off
2016-03-15 08:49:44.173,Off
2016-03-15 08:49:48.913,Off
2016-03-15 08:49:52.153,Off
2016-03-15 08:49:57.019,Off
2016-03-15 08:50:00.508,Off
2016-03-15 08:50:04.498,Off
2016-03-15 08:50:08.863,Off
2016-03-15 08:50:12.603,Off
2016-03-15 08:50:15.968,Off
2016-03-15 08:50:20.082,Off
2016-03-15 08:50:24.072,Off
2016-03-15 08:50:28.687,Off
2016-03-15 08:50:32.052,Off
2016-03-15 08:50:36.792,Off
2016-03-15 08:50:40.407,Off
2016-03-15 08:50:44.273,Off
2016-03-15 08:50:48.512,Off
2016-03-15 08:50:52.752,Off
2016-03-15 08:50:56.483,Off
2016-03-15 08:51:00.846,Off
2016-03-15 08:51:04.711,Off
2016-03-15 08:51:08.566,Off
